Net Asset Value,Repurchase Price,Sale Price,NAV date
53.7677,,,16-Sep-22
54.0445,,,19-Sep-22
54.6388,,,20-Sep-22
54.4628,,,21-Sep-22
54.2589,,,22-Sep-22
53.3003,,,23-Sep-22
52.1482,,,26-Sep-22
52.2165,,,27-Sep-22
51.6947,,,28-Sep-22
51.7564,,,29-Sep-22
52.6061,,,30-Sep-22
52.1478,,,03-Oct-22
53.3185,,,04-Oct-22
53.6192,,,06-Oct-22
53.5874,,,07-Oct-22
53.2546,,,10-Oct-22
52.5418,,,11-Oct-22
53.0174,,,12-Oct-22
52.5955,,,13-Oct-22
52.9511,,,14-Oct-22
53.3028,,,17-Oct-22
53.9589,,,18-Oct-22
54.0365,,,19-Oct-22
54.0668,,,20-Oct-22
53.9397,,,21-Oct-22
54.3183,,,25-Oct-22
54.5728,,,27-Oct-22
54.4425,,,28-Oct-22
55.1343,,,31-Oct-22
55.4913,,,01-Nov-22
55.4764,,,02-Nov-22
55.3591,,,03-Nov-22
55.3716,,,04-Nov-22
55.7561,,,07-Nov-22
55.6418,,,09-Nov-22
55.1922,,,10-Nov-22
55.9811,,,11-Nov-22
55.7813,,,14-Nov-22
55.937,,,15-Nov-22
55.8564,,,16-Nov-22
55.6638,,,17-Nov-22
55.3963,,,18-Nov-22
55.0284,,,21-Nov-22
55.2892,,,22-Nov-22
55.3813,,,23-Nov-22
56.0173,,,24-Nov-22
56.2638,,,25-Nov-22
56.3627,,,28-Nov-22
56.4287,,,29-Nov-22
56.8493,,,30-Nov-22
57.0189,,,01-Dec-22
56.8001,,,02-Dec-22
56.7821,,,05-Dec-22
56.5935,,,06-Dec-22
56.5118,,,07-Dec-22
56.8,,,08-Dec-22
56.4635,,,09-Dec-22
56.6118,,,12-Dec-22
56.7855,,,13-Dec-22
57.02,,,14-Dec-22
56.3926,,,15-Dec-22
55.8812,,,16-Dec-22
56.2524,,,19-Dec-22
56.0557,,,20-Dec-22
55.3219,,,21-Dec-22
54.9299,,,22-Dec-22
53.7949,,,23-Dec-22
54.7356,,,26-Dec-22
55.119,,,27-Dec-22
55.1928,,,28-Dec-22
55.2842,,,29-Dec-22
55.1586,,,30-Dec-22
55.4536,,,02-Jan-23
55.542,,,03-Jan-23
54.9097,,,04-Jan-23
